Embalaje,Ancho_cm,Largo_cm,Alto_cm,Peso_kg,Manipulacion,Procedencia,Temperatura,Protocolo
1,97.6,18.6,33.5,45.77,normal,A,ambiente,Protocolo_1
2,57.0,76.0,28.9,72.55,normal,B,refrigerado,Protocolo_2
2,76.7,17.1,20.9,40.4,normal,C,ambiente,Protocolo_2
2,35.5,100.0,44.3,71.08,normal,C,ambiente,Protocolo_2
3,73.3,13.8,74.0,13.78,normal,C,ambiente,Protocolo_1
3,96.8,70.1,42.6,49.41,normal,C,ambiente,Protocolo_2
1,39.0,78.8,98.4,42.14,normal,A,ambiente,Protocolo_2
3,99.9,29.5,33.7,26.14,normal,D,refrigerado,Protocolo_1
1,65.6,29.2,95.1,17.16,fragil,A,refrigerado,Protocolo_2
2,76.1,61.6,23.4,5.78,normal,C,refrigerado,Protocolo_1
1,29.0,64.9,35.5,21.09,fragil,B,ambiente,Protocolo_2
2,66.1,73.4,20.6,54.51,normal,B,refrigerado,Protocolo_2
3,53.5,60.1,27.6,22.4,normal,D,ambiente,Protocolo_1
2,95.9,21.6,19.9,58.3,normal,C,refrigerado,Protocolo_2
3,90.9,92.8,64.4,70.04,normal,A,ambiente,Protocolo_2
1,42.7,20.8,24.1,55.61,normal,C,ambiente,Protocolo_2
2,95.0,58.7,13.1,64.44,normal,B,ambiente,Protocolo_1
2,89.1,92.4,30.3,45.94,normal,B,ambiente,Protocolo_2
3,61.1,91.7,69.4,75.74,normal,A,refrigerado,Protocolo_2
3,12.8,21.0,45.7,61.08,fragil,D,ambiente,Protocolo_2
2,20.3,27.7,19.8,25.95,normal,B,ambiente,Protocolo_1
1,12.3,62.2,11.0,57.92,fragil,D,ambiente,Protocolo_2
2,15.3,37.0,74.3,53.81,normal,C,ambiente,Protocolo_1
1,97.8,74.4,71.9,60.16,normal,C,ambiente,Protocolo_2
2,25.2,54.6,48.8,25.69,normal,B,ambiente,Protocolo_1
1,70.6,30.3,55.1,40.86,normal,C,ambiente,Protocolo_2
2,65.5,44.0,27.8,70.45,normal,A,ambiente,Protocolo_1
1,65.0,70.7,51.1,78.06,normal,B,ambiente,Protocolo_2
1,24.6,79.6,74.2,28.92,normal,B,ambiente,Protocolo_1
1,60.0,40.1,78.3,39.04,fragil,B,ambiente,Protocolo_2
3,64.4,15.0,37.3,26.6,normal,B,ambiente,Protocolo_1
3,59.2,38.6,69.5,57.49,normal,C,refrigerado,Protocolo_2
3,22.7,64.9,51.2,3.3,normal,A,ambiente,Protocolo_1
1,73.7,77.2,75.2,76.31,normal,D,refrigerado,Protocolo_2
2,12.0,88.6,70.6,44.04,fragil,B,ambiente,Protocolo_2
3,61.2,96.4,76.3,21.82,fragil,C,ambiente,Protocolo_2
2,46.4,55.3,20.7,3.18,normal,D,ambiente,Protocolo_1
1,28.8,88.6,35.6,44.95,normal,D,ambiente,Protocolo_2
1,81.7,29.9,30.2,46.98,normal,B,ambiente,Protocolo_1
1,21.7,58.2,47.5,55.68,normal,D,ambiente,Protocolo_2
3,93.6,56.2,49.2,42.13,normal,B,ambiente,Protocolo_2
1,89.0,78.0,68.4,41.35,normal,A,ambiente,Protocolo_2
3,39.3,78.4,59.1,24.47,normal,B,refrigerado,Protocolo_1
3,34.0,32.1,60.1,15.68,normal,A,ambiente,Protocolo_1
3,18.1,89.2,65.1,20.23,normal,C,refrigerado,Protocolo_1
3,92.1,89.7,30.9,30.11,normal,A,refrigerado,Protocolo_1
1,64.6,95.1,26.5,61.91,fragil,B,refrigerado,Protocolo_2
3,8.0,48.5,25.4,9.64,fragil,B,ambiente,Protocolo_1
1,53.5,98.8,79.0,51.57,normal,A,ambiente,Protocolo_2
1,13.2,79.6,14.2,3.23,fragil,C,refrigerado,Protocolo_2
1,59.5,67.1,35.0,3.64,fragil,B,refrigerado,Protocolo_2
1,53.4,46.1,31.6,22.04,normal,D,refrigerado,Protocolo_2
1,12.9,85.0,61.2,28.7,fragil,A,ambiente,Protocolo_2
1,82.5,77.6,92.8,15.35,normal,B,ambiente,Protocolo_1
1,29.9,60.6,88.5,70.92,normal,B,ambiente,Protocolo_2
2,56.4,99.7,15.0,24.52,fragil,B,ambiente,Protocolo_1
1,65.7,28.7,56.3,37.58,fragil,A,ambiente,Protocolo_2
1,96.4,66.0,8.5,79.53,normal,D,ambiente,Protocolo_2
3,51.9,35.5,80.3,20.46,fragil,A,ambiente,Protocolo_1
1,92.1,48.5,40.6,49.58,fragil,B,ambiente,Protocolo_2
1,38.7,37.2,25.4,59.77,normal,B,ambiente,Protocolo_2
1,86.5,36.8,51.0,21.83,normal,A,ambiente,Protocolo_1
1,27.4,40.8,46.3,4.79,fragil,C,ambiente,Protocolo_2
2,72.2,10.4,94.6,63.35,normal,A,ambiente,Protocolo_1
3,13.4,8.8,8.2,23.26,normal,C,ambiente,Protocolo_1
3,98.7,73.9,95.2,25.84,normal,A,ambiente,Protocolo_1
2,95.6,34.5,27.3,33.3,normal,C,ambiente,Protocolo_1
1,47.0,7.0,18.8,3.32,fragil,B,refrigerado,Protocolo_2
3,54.8,12.7,75.5,68.14,normal,D,refrigerado,Protocolo_2
1,61.8,23.6,54.6,69.09,normal,B,refrigerado,Protocolo_2
2,31.1,9.6,90.1,69.73,normal,B,ambiente,Protocolo_1
2,69.1,94.9,56.6,14.77,normal,B,refrigerado,Protocolo_1
3,71.4,59.0,53.0,78.1,normal,A,ambiente,Protocolo_1
1,54.9,42.4,24.6,52.99,normal,B,ambiente,Protocolo_2
2,19.0,55.6,95.2,47.52,fragil,B,ambiente,Protocolo_2
2,92.3,15.7,68.1,57.84,normal,A,ambiente,Protocolo_1
2,15.9,71.7,62.1,60.53,normal,C,refrigerado,Protocolo_2
3,64.8,97.1,80.1,33.41,normal,B,ambiente,Protocolo_1
3,14.8,17.4,14.6,46.8,fragil,A,ambiente,Protocolo_2
2,18.9,19.5,87.3,46.89,normal,C,ambiente,Protocolo_1
2,7.0,64.7,52.5,0.82,normal,B,ambiente,Protocolo_1
3,39.5,19.4,81.2,0.98,fragil,D,ambiente,Protocolo_1
2,65.8,17.0,72.7,37.76,normal,B,ambiente,Protocolo_1
1,54.5,68.7,47.9,44.77,normal,A,ambiente,Protocolo_2
2,69.1,63.8,78.1,56.64,normal,C,refrigerado,Protocolo_2
1,69.1,25.7,73.5,60.27,normal,B,ambiente,Protocolo_2
1,18.3,83.2,5.4,46.95,normal,C,refrigerado,Protocolo_2
2,10.4,15.0,72.4,22.89,normal,B,refrigerado,Protocolo_1
3,64.4,36.6,53.3,49.62,normal,A,refrigerado,Protocolo_2
3,67.1,75.2,84.7,20.93,normal,B,ambiente,Protocolo_1
1,57.9,63.3,81.9,65.44,normal,A,ambiente,Protocolo_2
2,28.3,62.0,21.2,33.98,fragil,B,refrigerado,Protocolo_2
1,82.0,70.2,7.1,71.62,normal,B,ambiente,Protocolo_1
3,12.2,66.4,23.7,10.41,normal,C,ambiente,Protocolo_1
1,65.1,88.1,75.4,56.5,normal,B,refrigerado,Protocolo_2
3,16.4,59.0,87.8,34.46,normal,A,ambiente,Protocolo_1
3,67.2,43.1,71.6,10.36,normal,B,refrigerado,Protocolo_1
3,44.7,77.8,83.0,44.81,normal,B,ambiente,Protocolo_2
1,73.2,29.6,60.8,17.11,normal,B,ambiente,Protocolo_1
3,10.0,77.2,53.1,23.53,normal,C,ambiente,Protocolo_1
3,57.7,31.6,97.2,36.61,normal,A,ambiente,Protocolo_1
2,18.8,50.6,12.7,29.28,normal,B,refrigerado,Protocolo_1
3,69.8,75.2,45.0,31.22,normal,A,ambiente,Protocolo_1
3,16.4,64.6,31.4,31.88,fragil,D,ambiente,Protocolo_2
1,12.0,13.1,16.6,1.55,normal,C,ambiente,Protocolo_1
3,72.7,47.4,62.5,29.51,normal,A,refrigerado,Protocolo_2
3,11.0,82.1,30.0,31.6,normal,B,refrigerado,Protocolo_1
1,26.3,99.7,49.0,47.5,normal,D,ambiente,Protocolo_2
1,83.3,49.3,18.0,38.58,normal,A,ambiente,Protocolo_1
3,81.9,13.2,42.0,13.97,fragil,B,ambiente,Protocolo_2
1,86.1,39.8,24.0,47.12,normal,B,ambiente,Protocolo_2
2,36.0,51.5,90.2,3.0,fragil,A,ambiente,Protocolo_2
3,55.2,12.0,54.6,26.8,normal,A,ambiente,Protocolo_1
2,78.5,87.1,81.0,49.69,normal,A,ambiente,Protocolo_2
3,18.0,56.2,51.1,49.99,normal,B,ambiente,Protocolo_1
1,73.8,44.5,9.0,14.6,normal,C,ambiente,Protocolo_1
1,14.3,42.7,71.0,27.27,normal,D,ambiente,Protocolo_1
3,91.8,7.7,9.5,36.72,normal,A,refrigerado,Protocolo_1
2,65.5,54.3,42.5,33.03,normal,C,ambiente,Protocolo_1
1,51.9,50.2,57.0,54.9,normal,B,ambiente,Protocolo_1
1,51.0,37.9,79.1,59.27,normal,A,ambiente,Protocolo_2
2,22.2,67.6,90.4,3.46,fragil,B,refrigerado,Protocolo_2
2,37.9,44.0,24.5,59.67,normal,B,ambiente,Protocolo_1
1,74.1,59.3,68.0,70.3,normal,B,refrigerado,Protocolo_2
2,56.4,89.1,49.7,73.13,normal,B,ambiente,Protocolo_1
2,55.3,39.6,77.9,4.67,fragil,B,ambiente,Protocolo_1
2,23.5,42.8,94.3,70.72,normal,B,ambiente,Protocolo_1
1,70.6,87.3,55.6,13.26,normal,B,ambiente,Protocolo_1
2,42.2,39.0,32.2,27.2,normal,A,ambiente,Protocolo_1
3,22.4,46.7,80.9,30.66,fragil,B,refrigerado,Protocolo_2
1,94.7,81.1,55.0,24.06,normal,D,ambiente,Protocolo_2
1,53.1,61.2,88.8,23.72,fragil,B,refrigerado,Protocolo_2
3,55.2,93.7,58.8,13.72,fragil,B,refrigerado,Protocolo_2
2,98.2,49.7,94.0,52.79,fragil,C,ambiente,Protocolo_2
3,39.8,50.5,6.7,46.52,normal,B,refrigerado,Protocolo_2
2,94.6,9.1,75.2,49.16,normal,C,refrigerado,Protocolo_2
3,71.0,23.7,37.9,41.8,normal,A,refrigerado,Protocolo_2
2,65.1,56.3,68.5,17.82,normal,A,ambiente,Protocolo_1
1,27.3,22.8,94.5,46.99,normal,A,ambiente,Protocolo_1
3,9.9,48.1,67.1,52.37,fragil,D,ambiente,Protocolo_2
2,46.6,31.9,75.8,4.34,normal,A,ambiente,Protocolo_1
1,6.0,7.0,20.0,79.02,normal,C,refrigerado,Protocolo_2
2,11.7,50.1,21.2,46.47,fragil,A,refrigerado,Protocolo_2
2,61.6,66.4,59.5,51.14,normal,B,refrigerado,Protocolo_2
1,73.8,37.1,45.9,45.66,fragil,B,ambiente,Protocolo_2
3,21.0,78.8,15.6,55.32,fragil,C,ambiente,Protocolo_2
1,74.6,18.9,74.2,52.62,normal,A,ambiente,Protocolo_2
1,95.2,13.7,71.4,63.97,fragil,C,ambiente,Protocolo_2
2,75.6,93.8,13.7,13.09,fragil,D,ambiente,Protocolo_2
3,79.5,92.6,9.6,13.27,normal,D,ambiente,Protocolo_1
3,71.6,43.6,41.0,17.72,normal,D,ambiente,Protocolo_1
3,26.4,44.9,65.1,77.08,normal,D,ambiente,Protocolo_1
1,39.3,85.8,89.9,28.69,normal,B,ambiente,Protocolo_1
3,95.2,55.4,46.3,25.43,normal,A,ambiente,Protocolo_1
3,67.8,16.1,13.0,18.5,fragil,B,ambiente,Protocolo_1
2,80.0,15.9,84.8,38.62,normal,A,ambiente,Protocolo_1
2,97.0,17.5,16.9,72.44,normal,D,ambiente,Protocolo_1
1,27.0,79.2,65.6,54.0,fragil,B,refrigerado,Protocolo_2
3,35.6,62.2,44.3,15.18,fragil,B,ambiente,Protocolo_2
3,66.3,33.5,91.4,67.02,fragil,D,ambiente,Protocolo_2
2,7.3,20.4,72.0,75.65,normal,A,refrigerado,Protocolo_2
2,59.3,16.7,5.0,57.1,normal,B,ambiente,Protocolo_2
2,81.8,75.4,40.4,47.57,normal,B,refrigerado,Protocolo_2
1,63.0,89.2,22.1,53.81,fragil,C,ambiente,Protocolo_2
2,33.1,55.5,31.9,58.93,normal,B,refrigerado,Protocolo_2
3,73.8,78.4,42.9,68.78,fragil,B,ambiente,Protocolo_2
3,18.9,31.9,56.4,52.76,normal,A,refrigerado,Protocolo_2
3,90.0,60.6,80.8,42.61,normal,B,ambiente,Protocolo_1
2,14.6,46.6,13.2,14.76,normal,C,refrigerado,Protocolo_1
3,87.0,13.3,46.9,30.06,fragil,A,ambiente,Protocolo_1
2,52.3,51.3,85.8,6.95,normal,C,ambiente,Protocolo_1
2,45.7,85.4,46.1,58.34,fragil,B,ambiente,Protocolo_2
2,52.6,9.9,54.3,79.38,normal,A,ambiente,Protocolo_1
3,24.0,50.3,79.0,7.86,normal,A,ambiente,Protocolo_1
3,48.5,88.0,72.7,35.33,normal,A,ambiente,Protocolo_1
1,85.7,80.1,53.4,56.07,normal,B,ambiente,Protocolo_2
1,81.1,51.9,96.9,2.59,normal,C,refrigerado,Protocolo_2
2,20.5,21.3,8.4,35.28,fragil,B,ambiente,Protocolo_1
2,69.0,85.6,10.2,63.62,normal,C,refrigerado,Protocolo_2
3,86.4,19.5,45.6,23.6,normal,C,ambiente,Protocolo_1
2,82.9,31.3,20.0,52.84,normal,B,refrigerado,Protocolo_1
2,45.4,16.8,25.6,48.67,normal,D,ambiente,Protocolo_2
3,9.6,48.6,19.3,56.06,normal,B,ambiente,Protocolo_1
2,93.5,64.8,70.8,19.36,fragil,B,ambiente,Protocolo_1
2,42.6,83.6,45.0,13.63,normal,B,ambiente,Protocolo_1
2,39.3,48.8,84.2,1.55,normal,A,ambiente,Protocolo_1
2,77.2,97.2,28.8,38.53,normal,B,ambiente,Protocolo_1
3,30.1,61.6,64.2,15.11,normal,C,ambiente,Protocolo_1
3,84.3,62.4,25.3,52.17,normal,A,ambiente,Protocolo_1
2,12.2,21.7,6.4,44.02,normal,C,ambiente,Protocolo_2
2,75.4,23.1,70.4,66.73,normal,B,ambiente,Protocolo_2
2,96.8,59.8,18.8,64.19,normal,B,refrigerado,Protocolo_2
1,99.6,73.5,70.9,29.02,normal,B,refrigerado,Protocolo_2
2,92.8,24.4,70.6,23.84,normal,D,refrigerado,Protocolo_2
1,87.7,51.0,68.5,6.76,fragil,D,ambiente,Protocolo_2
1,31.5,38.8,61.2,60.56,normal,B,ambiente,Protocolo_1
1,96.8,46.7,89.1,39.8,fragil,B,refrigerado,Protocolo_2
2,93.2,26.1,12.2,27.04,normal,B,ambiente,Protocolo_1
1,55.8,18.4,93.5,56.34,normal,C,refrigerado,Protocolo_2
2,43.2,35.4,11.3,22.07,normal,A,ambiente,Protocolo_1
2,15.4,87.5,52.1,38.35,normal,B,refrigerado,Protocolo_1
2,61.1,81.5,92.7,34.99,fragil,A,refrigerado,Protocolo_2
3,71.6,14.7,30.5,21.76,fragil,A,ambiente,Protocolo_1
2,43.4,13.3,84.6,63.28,normal,A,ambiente,Protocolo_1
3,43.6,51.8,61.4,56.65,normal,A,refrigerado,Protocolo_2
3,59.5,31.4,86.8,41.66,normal,A,ambiente,Protocolo_1
1,7.6,83.2,9.6,55.36,normal,B,refrigerado,Protocolo_2
1,96.0,51.2,57.8,7.33,normal,A,ambiente,Protocolo_1
2,32.5,86.0,22.9,34.5,normal,D,ambiente,Protocolo_1
3,18.4,15.3,6.7,48.09,fragil,A,ambiente,Protocolo_2
1,5.5,97.2,70.5,31.63,normal,D,ambiente,Protocolo_1
1,86.4,77.9,76.2,57.19,fragil,C,refrigerado,Protocolo_2
3,87.0,74.5,74.9,41.87,normal,C,refrigerado,Protocolo_2
3,14.1,94.3,74.1,30.75,normal,A,ambiente,Protocolo_1
1,19.5,49.7,81.0,33.34,normal,D,ambiente,Protocolo_1
2,47.6,19.1,49.6,57.36,normal,A,ambiente,Protocolo_1
2,22.6,52.2,38.0,5.45,normal,A,ambiente,Protocolo_1
1,74.9,82.4,78.2,67.08,normal,A,ambiente,Protocolo_2
1,10.5,86.7,68.3,4.78,normal,B,ambiente,Protocolo_1
2,57.2,51.4,24.0,10.79,fragil,A,refrigerado,Protocolo_2
2,41.4,74.6,46.4,64.85,normal,C,refrigerado,Protocolo_2
1,49.2,28.5,22.3,30.08,fragil,B,ambiente,Protocolo_2
2,45.4,26.9,79.0,36.86,normal,D,ambiente,Protocolo_1
1,19.6,60.7,28.5,29.95,normal,B,ambiente,Protocolo_1
3,25.9,45.1,64.2,7.63,normal,A,refrigerado,Protocolo_1
1,11.2,20.3,74.9,48.76,normal,B,refrigerado,Protocolo_2
1,16.0,77.3,99.2,55.19,normal,A,ambiente,Protocolo_2
1,97.9,55.6,46.1,15.36,normal,D,ambiente,Protocolo_1
3,31.6,54.4,87.9,60.22,normal,C,refrigerado,Protocolo_2
3,34.2,23.0,68.1,8.16,normal,B,ambiente,Protocolo_1
2,17.1,27.9,5.8,62.03,normal,C,ambiente,Protocolo_1
1,76.7,70.8,42.2,56.17,normal,C,refrigerado,Protocolo_2
3,92.8,85.9,42.4,72.99,normal,D,ambiente,Protocolo_2
2,80.0,21.8,16.4,65.12,normal,C,refrigerado,Protocolo_2
3,63.2,82.2,46.5,67.59,normal,C,ambiente,Protocolo_2
2,82.3,79.9,16.1,76.63,fragil,B,ambiente,Protocolo_2
3,43.4,82.4,84.4,67.58,normal,A,refrigerado,Protocolo_2
3,86.7,60.3,39.4,63.75,normal,B,ambiente,Protocolo_2
1,80.9,38.4,22.4,15.85,fragil,C,ambiente,Protocolo_2
3,5.2,78.2,62.2,60.45,fragil,D,ambiente,Protocolo_2
1,51.3,50.6,86.5,50.69,normal,C,ambiente,Protocolo_2
2,30.1,26.1,93.8,76.93,fragil,D,ambiente,Protocolo_2
1,13.2,43.2,90.0,57.66,fragil,C,ambiente,Protocolo_2
3,85.4,48.5,88.8,20.91,fragil,C,ambiente,Protocolo_2
1,5.8,53.0,38.1,13.3,normal,A,ambiente,Protocolo_1
2,74.4,90.3,53.0,22.65,fragil,C,ambiente,Protocolo_2
2,98.9,44.1,40.3,38.52,normal,A,ambiente,Protocolo_1
3,50.8,32.1,92.6,52.27,normal,B,ambiente,Protocolo_1
3,40.3,96.4,13.8,17.36,normal,B,ambiente,Protocolo_1
1,62.6,28.0,57.7,18.78,fragil,C,refrigerado,Protocolo_2
3,81.4,6.1,28.5,24.29,normal,D,ambiente,Protocolo_1
1,27.8,85.7,85.8,64.62,fragil,B,ambiente,Protocolo_2
2,28.8,95.7,37.2,29.36,normal,B,ambiente,Protocolo_1
2,62.7,69.8,87.1,6.45,fragil,B,ambiente,Protocolo_2
2,94.3,43.7,93.2,43.69,fragil,B,ambiente,Protocolo_2
3,33.4,56.7,21.3,0.67,fragil,A,ambiente,Protocolo_1
3,40.8,84.0,76.7,53.96,normal,A,ambiente,Protocolo_1
2,99.4,89.1,38.2,67.4,fragil,C,refrigerado,Protocolo_2
3,21.7,14.7,43.3,13.48,fragil,A,ambiente,Protocolo_1
1,12.3,87.5,31.1,67.6,fragil,D,ambiente,Protocolo_2
1,61.0,63.6,63.6,54.39,normal,A,ambiente,Protocolo_2
2,7.3,8.1,37.6,8.06,normal,C,ambiente,Protocolo_1
2,22.1,15.3,75.4,18.39,normal,C,ambiente,Protocolo_1
3,64.1,9.3,79.0,18.34,normal,B,ambiente,Protocolo_1
3,67.7,95.1,42.5,16.62,normal,B,refrigerado,Protocolo_1
1,53.5,45.5,5.5,26.9,fragil,B,ambiente,Protocolo_2
1,41.5,73.0,11.3,72.63,normal,A,ambiente,Protocolo_2
3,59.7,5.2,31.0,18.09,normal,A,ambiente,Protocolo_1
2,66.1,80.4,95.6,74.15,normal,C,ambiente,Protocolo_2
1,81.3,50.8,42.4,44.06,normal,B,refrigerado,Protocolo_2
3,80.3,92.7,75.7,41.46,normal,D,ambiente,Protocolo_2
2,68.2,54.5,93.9,53.97,normal,A,ambiente,Protocolo_2
3,90.0,79.9,37.5,64.49,normal,B,ambiente,Protocolo_2
3,84.6,64.8,58.3,76.62,normal,C,ambiente,Protocolo_2
3,17.7,54.5,86.0,0.41,fragil,C,ambiente,Protocolo_2
2,95.9,95.1,63.4,31.97,normal,B,ambiente,Protocolo_1
3,89.7,52.1,15.7,14.49,fragil,A,ambiente,Protocolo_1
3,35.5,89.8,78.1,12.31,normal,A,refrigerado,Protocolo_1
1,6.9,8.4,90.9,11.93,fragil,A,refrigerado,Protocolo_2
1,62.4,67.5,78.0,56.84,normal,B,ambiente,Protocolo_2
1,46.6,91.6,76.5,4.28,normal,A,ambiente,Protocolo_2
2,76.2,90.4,76.8,66.97,normal,A,ambiente,Protocolo_2
2,54.8,51.1,63.2,60.25,normal,C,ambiente,Protocolo_2
1,12.3,49.8,28.5,32.86,normal,B,refrigerado,Protocolo_1
2,28.2,82.0,91.5,34.15,normal,B,ambiente,Protocolo_1
1,88.8,36.8,17.2,54.33,normal,D,refrigerado,Protocolo_2
2,8.6,94.0,83.6,1.06,normal,B,ambiente,Protocolo_1
2,75.0,28.8,39.1,31.09,normal,A,ambiente,Protocolo_1
2,32.7,12.1,69.0,14.57,normal,A,ambiente,Protocolo_1
2,48.0,78.3,81.5,14.63,normal,A,ambiente,Protocolo_1
2,55.4,43.4,80.9,44.14,normal,A,ambiente,Protocolo_1
3,28.8,38.8,20.3,19.83,fragil,D,ambiente,Protocolo_1
3,66.9,35.5,63.0,30.14,normal,A,refrigerado,Protocolo_1
3,70.9,98.1,25.4,57.44,normal,B,ambiente,Protocolo_1
2,13.1,59.3,15.6,49.73,fragil,A,refrigerado,Protocolo_2
2,40.5,99.2,53.8,26.54,normal,A,ambiente,Protocolo_1
1,75.7,37.6,98.8,4.16,fragil,B,refrigerado,Protocolo_2
2,73.6,44.3,98.3,2.33,normal,C,ambiente,Protocolo_1
1,56.7,25.1,59.5,39.11,normal,A,refrigerado,Protocolo_1
2,78.9,45.9,78.4,33.84,normal,C,ambiente,Protocolo_1
1,15.2,10.9,28.7,63.76,normal,A,ambiente,Protocolo_2
2,16.2,5.1,26.3,6.75,normal,C,ambiente,Protocolo_1
3,67.5,48.0,72.1,68.02,normal,D,ambiente,Protocolo_2
3,70.9,75.9,79.7,17.16,normal,A,ambiente,Protocolo_1
2,82.4,46.5,75.5,28.19,normal,B,ambiente,Protocolo_1
1,22.2,54.2,14.9,68.82,fragil,B,ambiente,Protocolo_2
1,54.1,47.3,38.8,67.04,normal,A,ambiente,Protocolo_2
1,67.8,55.0,9.2,41.29,fragil,A,refrigerado,Protocolo_2
3,26.3,78.7,79.7,6.72,fragil,A,ambiente,Protocolo_2
3,54.1,81.4,34.6,47.32,normal,B,refrigerado,Protocolo_2
2,65.7,84.6,45.8,60.99,normal,A,ambiente,Protocolo_2
1,25.4,25.2,60.0,21.13,normal,B,refrigerado,Protocolo_2
1,40.7,48.5,5.1,14.81,normal,A,refrigerado,Protocolo_1
3,25.6,83.9,38.6,39.86,normal,C,ambiente,Protocolo_1
1,90.8,94.5,74.1,59.99,normal,A,ambiente,Protocolo_2
1,27.5,56.6,32.2,40.49,normal,A,ambiente,Protocolo_1
1,16.5,51.8,59.2,19.31,normal,A,refrigerado,Protocolo_1
1,8.3,77.6,97.8,69.54,normal,C,ambiente,Protocolo_2
2,9.3,99.2,16.2,69.79,fragil,A,ambiente,Protocolo_2
3,23.2,45.5,30.5,52.73,fragil,C,ambiente,Protocolo_2
1,62.8,20.7,70.0,6.13,normal,C,refrigerado,Protocolo_1
3,6.7,84.3,61.8,18.72,normal,B,ambiente,Protocolo_1
1,32.2,72.5,97.9,49.57,normal,A,ambiente,Protocolo_2
1,10.5,18.8,8.3,62.55,normal,D,ambiente,Protocolo_2
1,43.3,35.7,88.4,38.05,normal,A,refrigerado,Protocolo_2
3,9.6,57.6,51.4,24.46,normal,C,ambiente,Protocolo_1
2,62.7,74.5,26.6,70.78,normal,C,refrigerado,Protocolo_2
3,70.4,79.2,52.8,30.63,fragil,B,ambiente,Protocolo_2
1,74.5,19.8,44.2,73.32,normal,B,refrigerado,Protocolo_2
1,26.3,25.6,22.0,42.68,normal,A,ambiente,Protocolo_1
3,87.5,75.7,25.8,49.22,normal,B,refrigerado,Protocolo_2
1,70.6,16.0,32.4,10.17,normal,C,ambiente,Protocolo_1
1,10.4,52.3,57.5,21.55,normal,C,refrigerado,Protocolo_2
2,46.9,56.9,12.9,77.98,fragil,A,ambiente,Protocolo_2
2,77.9,37.2,13.4,57.55,fragil,C,ambiente,Protocolo_2
1,34.5,80.7,36.5,38.27,normal,C,refrigerado,Protocolo_2
2,41.2,10.3,72.2,41.81,normal,B,ambiente,Protocolo_1
3,64.8,78.9,97.9,7.21,normal,B,ambiente,Protocolo_1
2,10.3,66.4,6.1,62.71,normal,B,ambiente,Protocolo_1
2,96.9,53.2,97.4,5.9,normal,C,ambiente,Protocolo_1
1,21.6,87.9,70.2,31.08,normal,C,ambiente,Protocolo_1
2,7.5,24.2,90.6,32.97,normal,C,ambiente,Protocolo_1
3,5.5,81.1,56.0,48.33,fragil,C,ambiente,Protocolo_2
2,43.0,22.8,49.0,33.36,fragil,D,refrigerado,Protocolo_2
3,89.0,99.1,79.6,76.86,normal,D,ambiente,Protocolo_2
1,82.9,8.1,57.4,63.87,fragil,A,refrigerado,Protocolo_2
1,91.6,57.6,90.2,76.75,normal,B,ambiente,Protocolo_2
2,55.7,21.0,89.8,41.6,normal,B,refrigerado,Protocolo_2
1,47.6,43.8,55.4,24.32,fragil,C,refrigerado,Protocolo_2
2,41.7,19.1,59.5,78.51,normal,B,ambiente,Protocolo_1
3,9.4,23.4,48.3,6.68,fragil,D,ambiente,Protocolo_1
2,91.4,10.8,70.5,74.18,fragil,C,ambiente,Protocolo_2
2,52.1,5.8,69.8,7.84,normal,B,ambiente,Protocolo_1
3,48.2,73.3,66.8,64.59,fragil,D,ambiente,Protocolo_2
1,53.9,48.1,10.9,62.44,normal,C,ambiente,Protocolo_2
3,80.4,9.3,96.5,52.84,normal,A,ambiente,Protocolo_2
1,26.3,94.2,36.9,62.65,fragil,B,refrigerado,Protocolo_2
3,72.4,68.2,28.4,7.23,fragil,D,ambiente,Protocolo_2
2,72.5,30.1,25.0,30.01,fragil,C,refrigerado,Protocolo_2
1,85.7,46.7,11.6,27.05,normal,A,ambiente,Protocolo_1
3,5.8,51.5,48.4,78.53,normal,A,ambiente,Protocolo_1
1,21.2,59.1,8.9,37.91,normal,C,ambiente,Protocolo_1
2,49.7,86.5,20.3,4.16,normal,C,refrigerado,Protocolo_1
3,85.8,61.0,5.5,20.89,normal,C,ambiente,Protocolo_1
3,96.7,98.0,21.6,67.56,normal,A,ambiente,Protocolo_1
3,61.5,74.0,99.5,71.35,normal,C,ambiente,Protocolo_2
2,25.2,98.9,56.4,74.2,normal,D,ambiente,Protocolo_2
2,22.5,57.3,11.4,11.7,normal,B,refrigerado,Protocolo_1
1,65.7,69.5,58.6,55.11,normal,B,refrigerado,Protocolo_2
3,25.0,75.1,62.1,32.31,fragil,A,ambiente,Protocolo_2
2,57.5,76.7,57.0,58.89,normal,A,ambiente,Protocolo_1
3,84.3,7.3,36.9,65.99,normal,A,ambiente,Protocolo_1
2,42.0,17.1,67.4,21.05,normal,A,ambiente,Protocolo_1
3,41.0,26.6,18.5,40.13,normal,A,refrigerado,Protocolo_2
1,8.4,30.8,25.9,26.32,fragil,C,ambiente,Protocolo_2
3,29.1,91.0,99.5,36.58,normal,A,ambiente,Protocolo_1
1,71.3,73.6,44.5,23.39,normal,D,ambiente,Protocolo_1
1,39.2,18.6,19.0,27.3,fragil,D,ambiente,Protocolo_2
2,20.0,45.5,25.6,21.93,normal,B,ambiente,Protocolo_1
2,15.0,28.1,73.8,24.02,normal,D,ambiente,Protocolo_1
3,14.0,83.8,16.0,46.32,normal,B,ambiente,Protocolo_1
